I,G,C,H
0.036485810166358844,0.6878619605710794,0.10316520592755322,0.17248702333500876
0.03639849468755343,0.553746003622474,0.06659275733101948,0.34326274435895354
0.8600288142938008,0.03500000000000277,0.06379735588251387,0.041173829823682416
0.03556806113559772,0.7436977660479133,0.07038232601140028,0.15035184680508829
0.8739825962387199,0.03500000029678792,0.05310715159390438,0.037910251870587976
0.03639163389371063,0.7677209784523713,0.07702007024791034,0.11886731740600961
0.047160169674432054,0.03500000023972247,0.798133251589613,0.11970657849623087
0.036276630166351916,0.7057558323221259,0.10735874855011368,0.1506087889614085
0.0635107588530356,0.035112438306938755,0.6842060910957053,0.21717071174432073
0.03638710939274795,0.7612649137325104,0.08009872333035736,0.1222492535443818
0.042503160593493496,0.035000000042231555,0.6875483539580765,0.23494848540619995
0.8682748874051424,0.03500000001312995,0.053498206762743,0.04322690581898465
0.05905049785426625,0.035000009849407966,0.552683093638213,0.3532663986581122
0.7431543692191032,0.03500290668039009,0.13201206156856468,0.0898306625319412
0.03864207836739147,0.03950608056947463,0.6686425945465905,0.25320924651654414
0.8051016166788835,0.03504921466555781,0.10012855032679428,0.05972061832876484
0.05473310903719309,0.03595095897381684,0.3984390934898414,0.510876838499148
0.03658277139389862,0.6512863054032882,0.1198603541664433,0.1922705690363698
0.861070845600092,0.03500000000001918,0.06279923559851154,0.04112991880137821
0.8853619533989202,0.03500203545197236,0.04097184454638321,0.03866416660272395
0.8048843127776389,0.035039549402665564,0.1002234784859689,0.059852659333727465
0.057570674127209856,0.038299122844484265,0.5080459580814817,0.3960842449468239
0.03551351731284515,0.7528994211087588,0.06872070553833852,0.14286635604005826
0.036526147786683144,0.6988882201079843,0.1070838238153716,0.15750180828995974
0.06352012335561111,0.03510668337856509,0.6826269644734783,0.21874622879234568
0.0366756818752048,0.7139448864466428,0.08401279190579598,0.16536663977235627
0.8938218800885123,0.03500162647097613,0.03574780119264074,0.03542869224787113
0.0369447200095814,0.6652565894530733,0.1019544666320094,0.19584422390533593
0.036640643080109,0.7090382660263931,0.08055786538546297,0.17376322550803644
0.04491689488341597,0.03934728787040049,0.2973148274523387,0.6184209897938431
0.03673130482580224,0.716073295699031,0.08971567026425595,0.1574797292109106
0.03642995788901345,0.697686575910435,0.10171942610855704,0.16416404009199337
0.8843707798472776,0.035000003013929304,0.042003880087409504,0.0386253370513841
0.035582181781901215,0.7321977384410565,0.06237942934903999,0.16984065042800325
0.8939135915967288,0.03500123833306152,0.035690876271819216,0.03539429379839112
0.035944148132370055,0.7374450617912771,0.08519298726628714,0.14141780281006544
0.05840468914547807,0.03500001032414188,0.5521299634785699,0.3544653370518111
0.03514535003782526,0.6920485022228455,0.09031420515984896,0.18249194257948015
0.8225573076753225,0.035000035999901286,0.0870068668435636,0.05543578948121426
0.035465201172361766,0.7373498516103935,0.0745022063708597,0.15268274084638533
0.048723536228460776,0.1552507685976644,0.3637789770205621,0.43224671815331295
0.048529487217635225,0.15701478229061908,0.3300206261590296,0.46443510433271606
0.03632144741226389,0.7016479743039123,0.1090868562796616,0.15294372200416245
0.03560262558594121,0.7379352110978815,0.08061714370856737,0.14584501960760934
0.03630903719438694,0.7379660564357805,0.09561359017786072,0.1301113161919722
0.036968183853367705,0.7379022074987804,0.09295059980990399,0.13217900883794773
0.04892276218494743,0.1561097158740799,0.3755917056343866,0.4193758163065851
0.036958144044468955,0.6660979370649002,0.10255219891792276,0.19439171997270713
0.0365130518118617,0.6876569478534819,0.10615502504264784,0.16967497529200815
0.046259948430827064,0.040895795362436996,0.3143146833439551,0.5985295728627814
0.047654165823998854,0.03500000140878441,0.7980307262793459,0.11931510648787073
0.04837936484481389,0.15327310224446508,0.3325258477583118,0.46582168515241007
0.1978315823572376,0.04577186922372229,0.45156916629411714,0.3048273821249224
0.03560017134214145,0.7352522446008889,0.08132159532684419,0.14782598873012645
0.060183028537597244,0.03502367803337021,0.7559185647609133,0.14887472866812024
0.03598291442695991,0.7080781587512078,0.08526422109146918,0.1706747057303622
0.04619595037630051,0.03500190010235176,0.552771027542241,0.3660311219791068
0.03679409226147784,0.713416486388431,0.0905601103584489,0.15922931099164242
0.03585632832527706,0.748155863846776,0.08542337317621351,0.1305644346517329
0.036354155380279335,0.7607889432243989,0.07999274074472434,0.12286416065059716
0.11966440463339151,0.03500001432570953,0.6416446342338181,0.20369094680708122
0.04814617423421917,0.36038517479431054,0.28075189336850265,0.31071675760296774
0.0374966599798095,0.6821354679325711,0.11456867536866863,0.16579919671895108
0.03637455246103492,0.7159646741791681,0.09659756214274204,0.151063211217054
0.27426320204200805,0.0359850888333823,0.519843747940673,0.1699079611839368
0.060756527298528026,0.03502943757039565,0.7538997172173635,0.15031431791371164
0.04097693740466691,0.4615837671746528,0.17405539283825752,0.32338390258242244
0.8780992063780836,0.03500000533800447,0.04749153173019354,0.039409256553717846
0.0719322428414296,0.03523040891398392,0.5710403924165459,0.3217969558280401
0.04577018046160717,0.21792087308293068,0.2791771625898124,0.4571317838656498
0.042442101712513905,0.03500000006708262,0.6934012821328138,0.22915661608759078
0.03721559753673683,0.7059156164380478,0.11092226998431495,0.14594651604090106
0.03850281436903597,0.03500003099548273,0.5464892666102067,0.38000788802527474
0.05749780292269095,0.03812107889023151,0.522287736615535,0.38209338157154293
0.036398539158667566,0.7290025380320118,0.0990838166394235,0.13551510616989842
0.03593644007207897,0.7385888412024755,0.08716508151785697,0.1383096372075874
0.03629462499941067,0.6665140628344957,0.11134665229746823,0.1858446598686258
0.2408214661129879,0.03591760477309594,0.5526899486903638,0.1705709804235518
