C,H
0.9188421007733123,0.08115789922668626
0.9279594006456158,0.07204059935438407
0.3822075855859167,0.6177924144140844
0.8779538195898742,0.12204618041012563
0.8145679302926321,0.185432069707366
0.3907779555765311,0.6092220444234693
0.8552453162818302,0.14475468371816883
0.8999492092151149,0.10005079078488485
0.684761028273207,0.31523897172679094
0.4514760524845182,0.5485239475154902
0.40526650277209497,0.5947334972279045
0.7946193432551576,0.20538065674484188
0.8513572895768183,0.14864271042318178
0.8574983660497429,0.14250163395025697
0.9295396221704642,0.0704603778295345
0.8789239961877362,0.12107600381226534
0.8817955807903788,0.11820441920961856
0.5048158827212827,0.49518411727872685
0.8714028089207652,0.12859719107923404
0.7810512363602048,0.21894876363979096
0.3490891114597838,0.6509108885402164
0.7192849097767008,0.2807150902233039
0.8548430186327647,0.14515698136723557
0.3274402760147797,0.6725597239852181
0.7147820372963499,0.2852179627036499
0.9139909489290589,0.08600905107093905
0.7335962019047416,0.26640379809525977
0.7648284617928686,0.23517153820712786
0.2917518881360907,0.7082481118639081
0.7136874181740686,0.2863125818259325
0.9132475123183255,0.08675248768167486
0.9051504768622106,0.09484952313778779
0.7313262289435427,0.26867377105645823
0.26844876315846933,0.7315512368415302
0.7154270722484009,0.28457292775159837
0.8151947131253489,0.1848052868746504
0.885651856957317,0.11434814304268061
0.7623968552841749,0.23760314471582697
0.7962847392370862,0.20371526076291321
0.6879495646071679,0.3120504353928324
0.2963623845030814,0.703637615496919
0.8863332901479525,0.11366670985204702
0.9169233369686143,0.08307666303138404
0.8654853783626147,0.1345146216373868
0.47542571316084875,0.5245742868391513
0.09704447708421433,0.9029555229157847
0.15935251518974447,0.8406474848102551
0.7575764258977917,0.24242357410220527
0.5057519550933823,0.4942480449066268
0.9194046725465982,0.08059532745340109
0.7814900241476311,0.2185099758523685
0.4619544187630392,0.5380455812369627
0.8889461604427892,0.11105383955720978
0.5485302382312991,0.451469761768704
0.2865442168693648,0.7134557831306368
0.9054165372885135,0.09458346271148343
0.9283834781702966,0.07161652182970427
0.20682789738446963,0.7931721026155303
0.2469338112715643,0.7530661887284352
0.7633301370112062,0.2366698629887937
0.7912175774554859,0.20878242254451365
0.08239110542136455,0.9176088945786355
0.141749758016466,0.8582502419835317
0.5436196587431009,0.45638034125688703
0.35295333053957045,0.6470466694604291
0.6543518527450385,0.345648147254959
0.7523184209574307,0.24768157904256863
0.9125103136650269,0.08748968633497443
0.9200734156207722,0.07992658437922778
0.2970276650535643,0.7029723349464323
0.6706393376639419,0.3293606623360566
0.896085851627805,0.10391414837219351
0.856804228196224,0.14319577180377355
0.7711240454593029,0.22887595454069876
0.6681924747710818,0.33180752522892604
0.8245879195033281,0.17541208049667226
0.9131424643895514,0.08685753561044958
0.2743826846212094,0.725617315378791
0.35999576840061753,0.6400042315993818
0.7030364519725625,0.2969635480274375
0.8239180985675673,0.17608190143243455
0.2753799011105894,0.7246200988894109
0.8171131078152075,0.18288689218479176
0.40117434218085385,0.5988256578191468
0.8958250241863993,0.10417497581360151
0.2756987519328152,0.7243012480671862
0.26323772433283116,0.7367622756671688
0.45634380244044914,0.5436561975595411
0.6796458239114389,0.32035417608856126
0.8274110367480868,0.1725889632519109
0.49878119723818504,0.5012188027618083
0.2327735277507318,0.7672264722492759
0.6161536497465238,0.3838463502534737
0.6778044418796823,0.3221955581203133
0.7038487610015334,0.29615123899846535
0.7945032799085093,0.2054967200914918
0.18565027050390948,0.8143497294960897
0.8631067822897378,0.13689321771025997
0.5582644308815876,0.44173556911841144
0.5242195084428265,0.4757804915571695
